County,Confirmed,Date,Year,Month,Month_Name,Day,Risk_Level
Alba,9,2020-04-02,2020,4,April,2,Low
Alba,13,2020-04-03,2020,4,April,3,Low
Alba,15,2020-04-04,2020,4,April,4,Low
Alba,33,2020-04-05,2020,4,April,5,Low
Alba,34,2020-04-06,2020,4,April,6,Low
Alba,50,2020-04-07,2020,4,April,7,Low
Alba,83,2020-04-08,2020,4,April,8,Low
Alba,90,2020-04-09,2020,4,April,9,Low
Alba,100,2020-04-10,2020,4,April,10,Low
Alba,103,2020-04-11,2020,4,April,11,Low
Alba,108,2020-04-12,2020,4,April,12,Low
Alba,109,2020-04-13,2020,4,April,13,Low
Alba,118,2020-04-14,2020,4,April,14,Low
Alba,133,2020-04-15,2020,4,April,15,Low
Alba,141,2020-04-16,2020,4,April,16,Low
Alba,141,2020-04-17,2020,4,April,17,Low
Alba,154,2020-04-18,2020,4,April,18,Low
Alba,155,2020-04-19,2020,4,April,19,Low
Alba,155,2020-04-20,2020,4,April,20,Low
Alba,155,2020-04-21,2020,4,April,21,Low
Alba,160,2020-04-22,2020,4,April,22,Low
Alba,161,2020-04-23,2020,4,April,23,Low
Alba,159,2020-04-24,2020,4,April,24,Low
Alba,158,2020-04-25,2020,4,April,25,Low
Alba,161,2020-04-26,2020,4,April,26,Low
Alba,165,2020-04-27,2020,4,April,27,Low
Alba,167,2020-04-28,2020,4,April,28,Low
Alba,171,2020-04-29,2020,4,April,29,Low
Alba,195,2020-04-30,2020,4,April,30,Low
Alba,204,2020-05-01,2020,5,May,1,Low
Alba,206,2020-05-02,2020,5,May,2,Low
Alba,208,2020-05-03,2020,5,May,3,Low
Alba,211,2020-05-04,2020,5,May,4,Low
Alba,211,2020-05-05,2020,5,May,5,Low
Alba,214,2020-05-06,2020,5,May,6,Low
Alba,223,2020-05-07,2020,5,May,7,Low
Alba,225,2020-05-08,2020,5,May,8,Low
Alba,230,2020-05-09,2020,5,May,9,Low
Alba,237,2020-05-10,2020,5,May,10,Low
Alba,235,2020-05-11,2020,5,May,11,Low
Alba,250,2020-05-12,2020,5,May,12,Low
Alba,250,2020-05-13,2020,5,May,13,Low
Alba,250,2020-05-14,2020,5,May,14,Low
Alba,256,2020-05-15,2020,5,May,15,Low
Alba,265,2020-05-16,2020,5,May,16,Low
Alba,265,2020-05-17,2020,5,May,17,Low
Alba,267,2020-05-18,2020,5,May,18,Low
Alba,271,2020-05-19,2020,5,May,19,Low
Alba,274,2020-05-20,2020,5,May,20,Low
Alba,276,2020-05-21,2020,5,May,21,Low
Alba,281,2020-05-22,2020,5,May,22,Low
Alba,288,2020-05-23,2020,5,May,23,Low
Alba,318,2020-05-24,2020,5,May,24,Low
Alba,338,2020-05-25,2020,5,May,25,Low
Alba,350,2020-05-26,2020,5,May,26,Low
Alba,350,2020-05-27,2020,5,May,27,Low
Alba,370,2020-05-28,2020,5,May,28,Low
Alba,378,2020-05-29,2020,5,May,29,Low
Alba,382,2020-05-30,2020,5,May,30,Low
Alba,382,2020-05-31,2020,5,May,31,Low
Alba,385,2020-06-01,2020,6,June,1,Low
Alba,390,2020-06-02,2020,6,June,2,Low
Alba,394,2020-06-03,2020,6,June,3,Low
Alba,396,2020-06-05,2020,6,June,5,Low
Alba,396,2020-06-06,2020,6,June,6,Low
Alba,401,2020-06-07,2020,6,June,7,Low
Alba,401,2020-06-08,2020,6,June,8,Low
Alba,402,2020-06-09,2020,6,June,9,Low
Alba,405,2020-06-10,2020,6,June,10,Low
Alba,407,2020-06-11,2020,6,June,11,Low
Alba,408,2020-06-12,2020,6,June,12,Low
Alba,411,2020-06-13,2020,6,June,13,Low
Alba,412,2020-06-14,2020,6,June,14,Low
Alba,412,2020-06-15,2020,6,June,15,Low
Alba,414,2020-06-16,2020,6,June,16,Low
Alba,414,2020-06-17,2020,6,June,17,Low
Alba,414,2020-06-18,2020,6,June,18,Low
Alba,417,2020-06-19,2020,6,June,19,Low
Alba,419,2020-06-20,2020,6,June,20,Low
Alba,419,2020-06-21,2020,6,June,21,Low
Alba,423,2020-06-22,2020,6,June,22,Low
Alba,426,2020-06-23,2020,6,June,23,Low
Alba,427,2020-06-24,2020,6,June,24,Low
Alba,431,2020-06-25,2020,6,June,25,Low
Alba,433,2020-06-27,2020,6,June,27,Low
Alba,435,2020-06-28,2020,6,June,28,Low
Alba,444,2020-06-30,2020,6,June,30,Low
Alba,447,2020-07-01,2020,7,July,1,Low
Alba,455,2020-07-02,2020,7,July,2,Low
Alba,461,2020-07-03,2020,7,July,3,Low
Alba,463,2020-07-04,2020,7,July,4,Low
Alba,467,2020-07-05,2020,7,July,5,Low
Alba,468,2020-07-06,2020,7,July,6,Low
Alba,469,2020-07-07,2020,7,July,7,Low
Alba,471,2020-07-08,2020,7,July,8,Low
Alba,479,2020-07-09,2020,7,July,9,Low
Alba,487,2020-07-10,2020,7,July,10,Low
Alba,491,2020-07-11,2020,7,July,11,Low
Alba,493,2020-07-12,2020,7,July,12,Low
Alba,496,2020-07-13,2020,7,July,13,Low
Alba,499,2020-07-14,2020,7,July,14,Low
Alba,499,2020-07-15,2020,7,July,15,Low
Alba,506,2020-07-16,2020,7,July,16,Medium
Alba,510,2020-07-17,2020,7,July,17,Medium
Alba,551,2020-07-18,2020,7,July,18,Medium
Alba,561,2020-07-19,2020,7,July,19,Medium
Alba,574,2020-07-20,2020,7,July,20,Medium
Alba,589,2020-07-21,2020,7,July,21,Medium
Arad,110,2020-04-02,2020,4,April,2,Low
Arad,110,2020-04-03,2020,4,April,3,Low
Arad,128,2020-04-04,2020,4,April,4,Low
Arad,150,2020-04-05,2020,4,April,5,Low
Arad,157,2020-04-06,2020,4,April,6,Low
Arad,161,2020-04-07,2020,4,April,7,Low
Arad,161,2020-04-08,2020,4,April,8,Low
Arad,162,2020-04-09,2020,4,April,9,Low
Arad,179,2020-04-10,2020,4,April,10,Low
Arad,229,2020-04-11,2020,4,April,11,Low
Arad,249,2020-04-12,2020,4,April,12,Low
Arad,270,2020-04-13,2020,4,April,13,Low
Arad,280,2020-04-14,2020,4,April,14,Low
Arad,312,2020-04-15,2020,4,April,15,Low
Arad,339,2020-04-16,2020,4,April,16,Low
Arad,360,2020-04-17,2020,4,April,17,Low
Arad,391,2020-04-18,2020,4,April,18,Low
Arad,402,2020-04-19,2020,4,April,19,Low
Arad,410,2020-04-20,2020,4,April,20,Low
Arad,423,2020-04-21,2020,4,April,21,Low
Arad,421,2020-04-22,2020,4,April,22,Low
Arad,439,2020-04-23,2020,4,April,23,Low
Arad,471,2020-04-24,2020,4,April,24,Low
Arad,495,2020-04-25,2020,4,April,25,Low
Arad,508,2020-04-26,2020,4,April,26,Medium
Arad,522,2020-04-27,2020,4,April,27,Medium
Arad,541,2020-04-28,2020,4,April,28,Medium
